datetime,BPM,label
2018-03-03 20:05:23,71.0,0
2018-03-03 20:05:24,74.0,0
2018-03-03 20:05:25,78.0,0
2018-03-03 20:05:26,88.0,0
2018-03-03 20:05:27,106.0,0
2018-03-03 20:05:28,106.0,0
2018-03-03 20:05:29,93.0,0
2018-03-03 20:05:30,88.0,0
2018-03-03 20:05:31,82.0,0
2018-03-03 20:05:32,85.0,0
2018-03-03 20:05:33,85.0,0
2018-03-03 20:05:34,68.0,0
2018-03-03 20:05:35,62.0,0
2018-03-03 20:05:36,60.0,0
2018-03-03 20:05:37,60.0,0
2018-03-03 20:05:38,64.0,0
2018-03-03 20:05:39,66.0,0
2018-03-03 20:05:40,66.0,0
2018-03-03 20:05:41,60.0,0
2018-03-03 20:05:42,60.0,0
2018-03-03 20:05:43,60.0,0
2018-03-03 20:05:44,66.0,0
2018-03-03 20:05:45,66.0,0
2018-03-03 20:05:46,60.0,0
2018-03-03 20:05:47,60.0,0
2018-03-03 20:05:48,60.0,0
2018-03-03 20:05:49,60.0,0
2018-03-03 20:05:50,60.0,0
2018-03-03 20:05:51,60.0,0
2018-03-03 20:05:52,60.0,1
2018-03-03 20:05:53,60.0,1
2018-03-03 20:05:54,60.0,1
2018-03-03 20:05:55,66.0,1
2018-03-03 20:05:56,85.0,1
2018-03-03 20:05:57,94.0,1
2018-03-03 20:05:58,113.0,1
2018-03-03 20:05:59,128.0,1
2018-03-03 20:06:00,128.0,1
2018-03-03 20:06:01,102.0,1
2018-03-03 20:06:02,87.0,1
2018-03-03 20:06:03,87.0,1
2018-03-03 20:06:04,88.0,1
2018-03-03 20:06:05,125.0,1
2018-03-03 20:06:06,181.0,1
2018-03-03 20:06:07,162.0,1
2018-03-03 20:06:08,162.0,1
2018-03-03 20:06:09,162.0,1
2018-03-03 20:06:10,112.0,1
2018-03-03 20:06:11,96.0,1
